Sample_Name	AP011213.1	JX534239.1	JX978723.1	KR816507.1	KR866125.1	KX641475.1	KX964606.1	LC541478.1	MF804538.1	MN400429.1	NC_001640.1	NC_001700.1	NC_001913.1	NC_001960.1	NC_002008.4	NC_002355.1	NC_003128.3	NC_003192.1	NC_003408.1	NC_003489.1	NC_004069.1	NC_004419.1	NC_004926.1	NC_005033.1	NC_005037.1	NC_005292.1	NC_006076.1	NC_006295.1	NC_006853.1	NC_006880.1	NC_006992.1	NC_007439.1	NC_007691.1	NC_007895.1	NC_008066.1	NC_008140.1	NC_008434.1	NC_008449.1	NC_008644.1	NC_009579.1	NC_009626.1	NC_009687.1	NC_009711.1	NC_010197.1	NC_010773.1	NC_011075.1	NC_011389.1	NC_011626.1	NC_011638.1	NC_011710.1	NC_012095.1	NC_012389.1	NC_012569.1	NC_012901.1	NC_012920.1	NC_013183.1	NC_013184.1	NC_013246.1	NC_013434.1	NC_013568.1	NC_013700.1	NC_013815.1	NC_013978.1	NC_014295.1	NC_014342.1	NC_014809.1	NC_014861.1	NC_014866.1	NC_015073.1	NC_015101.1	NC_015236.1	NC_015526.1	NC_015614.1	NC_015888.1	NC_015987.1	NC_016420.1	NC_016870.1	NC_016956.1	NC_018134.1	NC_018367.1	NC_018536.1	NC_018549.1	NC_020028.1	NC_020046.1	NC_020048.1	NC_020338.1	NC_020585.1	NC_020637.1	NC_020645.1	NC_021469.1	NC_021478.1	NC_021763.1	NC_022418.1	NC_022707.1	NC_022721.1	NC_022854.1	NC_023080.1	NC_023253.1	NC_023258.1	NC_023453.1	NC_023803.1	NC_023823.1	NC_023828.1	NC_023839.1	NC_024103.1	NC_024559.1	NC_024586.1	NC_024733.1	NC_024751.1	NC_024927.1	NC_024939.1	NC_025225.1	NC_025316.1	NC_025500.1	NC_025504.1	NC_025521.1	NC_025580.1	NC_025637.1	NC_025923.1	NC_026063.1	NC_026079.1	NC_026082.1	NC_026124.1	NC_026529.1	NC_026709.1	NC_026712.1	NC_027503.1	NC_027605.1	NC_027961.1	NC_028049.1	NC_028229.1	NC_028725.1	NC_029215.1	NC_029252.1	NC_029403.1	NC_029457.1	NC_029755.1	NC_029771.1	NC_030041.1	NC_030518.1	NC_030603.1	NC_030633.1	NC_030764.1	NC_031332.1	NC_031362.1	NC_031447.1	NC_034296.1	NC_035106.1	NC_035866.1	NC_035976.1	NC_036351.1	NC_036369.1	NC_036948.1	NC_038207.1	NC_038219.1	NC_039104.1	NC_039888.1	NC_041412.1	NC_041647.1	NC_042168.1	NC_046036.1	NC_046756.1	NC_047480.1	NC_048487.1	NC_048988.1	NC_048989.1	NC_048990.1	NC_049858.1	NC_051486.1	NC_053523.1	NC_056403.1	NC_056780.1	NC_059757.1	NC_060839.1	NC_061250.1	NC_061975.1	NC_062715.1	NC_062716.1	NC_065213.1	NC_066925.1	NC_067498.1	NC_068236.1	NC_069637.1	OM736804.1
SRR23971468	0	0	0	215	0	401	859	172	0	86	43	0	5954	43	1386	0	43	0	300	0	301	0	0	43	86	0	0	0	86	0	0	0	129	0	0	0	43	0	0	0	0	0	0	0	0	258	83	0	2318	86	1090	0	0	86	2484	0	0	43	0	0	5391	0	3776	0	0	0	0	0	0	0	2229	11397	43	809	129	0	0	0	1119	0	0	0	0	0	0	0	61	129	885	0	7285	0	12369	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	1291	0	214	43	0	0	0	344	0	0	41	0	0	43	0	0	0	0	0	0	43	0	342	0	0	0	258	1211	0	0	559	86	43	8308	0	0	0	43	0	0	0	0	0	0	1979	1139	0	0	0	0	0	0	0	344	0	0	0	12431	0	0	0	98	0	0	10550	11826	0	0	0	0	0	0
SRR23971469	0	0	0	0	43	373	10949	0	0	43	0	86	43	0	788	0	0	0	516	0	0	0	0	86	0	129	0	0	86	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	688	0	129	43	0	645	12735	43	0	0	0	0	0	0	172	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	939	172	0	0	0	0	0	475	0	0	0	0	0	0	0	97	0	258	0	0	0	0	0	0	0	0	11937	0	0	0	0	43	0	129	0	43	0	43	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	1021	0	0	0	0	43	0	0	0	0	0	0	0	0	0
SRR23971470	0	0	0	0	0	206	482	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1952	0	129	0	43	0	0	0	752	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	43	0	0	0	0	43	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	1805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971471	0	0	0	0	129	102	2275	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	129	0	0	0	0	0	680	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	86	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2736	0	0	0	0	0	0	0	428	0	0	0	0	0	0	86	0	0	0	48	0	0	0	0	0	0	6252	0	0	0	0	0	0	86	0	0	0	86	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	43	0	0	0	0	0	0	0	0	0
SRR23971472	0	0	0	0	0	0	344	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	43	0	0	0	0	43	3242	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	43	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	43	0	0	0	0	0	0	0	43	0	172	0	0	0	0	0	0	0	0	11609	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0	0	0	4014	0	0	0	43	0	0	0	0	0	0
SRR23971473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971474	0	0	0	0	0	43	5938	42	0	0	0	0	0	0	559	0	0	43	327	86	0	0	43	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	2569	0	0	0	129	43	0	1090	2189	43	0	0	0	0	43	0	427	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	129	0	0	86	43	129	0	0	0	0	0	0	0	0	0	0	0	0	7132	0	0	0	0	0	0	1460	0	43	0	0	0	0	43	0	0	0	0	0	0	0	137	0	4095	0	0	0	0	0	0	0	0	10765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1997	0	0	0	344	43	0	0	0	0	0	0	0	0	0
SRR23971475	0	0	0	0	0	392	599	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	301	0	45	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	86	43	0	0	0	0	0	0	0	0	0
SRR23971476	0	0	0	0	0	262	8901	0	0	0	0	43	43	0	301	0	0	43	988	0	0	0	0	43	0	86	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	3229	0	9201	86	258	0	0	0	2456	0	0	43	0	0	86	0	344	0	0	0	0	0	0	0	2651	172	0	0	0	0	0	0	43	0	0	0	0	0	43	0	0	43	0	0	0	0	377	0	0	0	0	0	0	43	0	0	0	0	0	43	0	0	0	0	0	0	1794	0	0	0	0	0	0	215	0	0	0	0	0	0	0	141	0	343	0	0	0	0	0	0	0	0	9701	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4236	0	0	0	43	129	0	0	0	0	0	0	0	0	0
SRR23971477	0	0	0	0	0	60	3330	0	0	0	0	43	387	0	0	0	0	43	86	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	86	0	0	0	86	0	0	43	430	0	0	0	0	0	43	0	129	0	0	0	0	0	0	0	172	43	0	0	43	0	0	0	86	0	0	0	0	0	0	0	0	43	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1817	0	0	0	0	0	0	430	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	2517	0	0	0	0	0	0	43	0	52	0	0	0	0	0	0	0	0	43	43	0	0	0	0	0	0	0	43	0	0	0	387	0	0	0	43	0	0	0	258	0	0	0	0	0	0
SRR23971478	0	0	0	0	86	374	11598	0	0	0	0	129	256	0	86	0	0	0	172	43	0	0	0	283	0	1944	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	430	0	559	0	43	0	0	344	3416	86	45	0	0	0	86	0	472	0	0	0	0	0	0	0	43	43	0	172	0	0	0	86	86	0	0	43	0	0	0	0	0	129	0	0	172	0	1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	387	43	0	0	0	0	0	0	100	0	258	0	0	430	0	0	0	0	0	8869	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3369	0	0	0	0	0	0	42	0	0	0	43	0	0	0
SRR23971479	0	0	0	0	0	86	43	92	0	0	0	0	975	0	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	0	432	0	86	0	0	0	258	172	0	0	0	0	816	0	5013	0	0	0	0	0	0	0	86	8367	0	0	0	0	0	0	172	0	0	0	0	0	0	0	43	0	171	0	3910	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	382	0	0	0	0	0	731	0	0	0	0	0	0	86	0	0	0	5551	0	0	0	0	0	0	1945	0	0	0	0	0	0	0	0	0	86	1178	43	0	0	0	0	0	0	0	0	0	0	0	8504	0	0	0	0	0	0	0	0	0	43	0	0	0	0
SRR23971480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	13343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	43	0	0	0	0	0	0	0	0	0	43	0	129	0	0	0	0	0	0	0	0	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	172	0	0	0	559	0	0	0	0	0	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971481	0	0	43	0	0	43	258	43	0	0	0	0	396	0	342	0	0	0	43	0	0	0	43	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	7592	0	86	0	0	0	834	0	0	0	0	0	4305	0	4417	0	0	0	0	0	0	0	86	5747	0	0	129	0	0	0	43	0	0	0	0	0	0	0	0	172	129	0	1586	0	1771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	43	0	0	0	0	0	0	129	43	0	0	0	0	0	86	0	0	0	43	0	0	0	0	0	0	1959	0	0	0	0	0	0	1262	0	0	0	86	0	0	0	0	0	43	215	0	0	0	0	0	0	0	0	0	0	0	0	2256	0	0	0	43	0	0	3016	0	0	0	0	0	0	0
SRR23971482	0	0	0	0	0	129	0	101	0	43	0	0	129	0	1194	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	84	0	705	0	0	0	129	0	0	0	0	0	6974	0	4658	0	0	0	0	0	0	0	43	1514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	941	0	8173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	695	0	43	0	0	0	0	0	0	0	0	86	0	0	43	0	0	0	0	0	0	0	0	0	0	849	0	42	0	0	0	43	0	0	0	0	129	0	0	0	0	0	0	0	0	184	0	0	0	1053	0	0	0	0	0	0	86	0	0	0	0	0	0	0
SRR23971483	0	0	86	0	0	670	8283	436	0	0	0	0	43	0	387	0	0	0	301	0	43	0	129	43	0	0	0	0	86	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	3852	0	0	0	1041	0	0	0	1064	0	0	0	0	0	5409	0	1631	0	0	0	0	0	0	0	5850	10580	0	0	0	0	0	0	0	43	0	0	0	0	1322	0	258	0	171	0	4610	0	4466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2411	86	0	0	0	0	129	0	0	0	43	0	0	0	0	258	0	171	0	0	0	0	0	0	0	0	1205	0	0	0	0	0	0	11766	0	0	0	0	0	0	0	0	86	98	8695	0	0	0	0	0	0	0	0	392	0	0	0	10555	0	0	0	0	43	0	0	0	0	43	0	0	0	0
SRR23971484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971485	0	0	0	0	0	247	129	86	0	0	0	0	989	0	8236	0	0	0	86	0	619	0	602	0	0	0	0	0	0	0	43	0	86	0	0	0	86	0	0	0	0	0	0	0	0	0	4362	0	0	43	10817	0	43	43	514	0	0	0	0	0	6625	0	7522	0	0	0	0	0	0	0	7282	8328	0	43	0	0	0	43	0	43	0	0	0	0	0	0	43	0	359	0	11057	0	6842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7232	119	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	43	0	0	43	0	903	0	0	0	7695	0	43	0	0	0	0	8718	0	0	0	43	0	43	0	0	0	152	7167	0	0	0	0	0	0	0	0	43	0	0	0	8847	0	0	0	185	0	0	129	0	0	43	0	0	0	0
SRR23971486	0	0	0	0	0	86	0	86	0	0	0	0	1006	0	493	0	0	0	43	0	43	0	0	0	0	430	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	344	0	129	0	0	0	688	0	0	0	0	0	6446	0	1178	0	0	0	0	0	0	0	529	7629	0	0	86	0	0	0	0	0	0	0	0	0	0	0	100	0	86	0	2069	0	2894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	43	0	0	654	0	0	43	429	0	0	0	0	0	0	0	0	0	0	175	0	0	43	0	0	0	86	0	0	0	43	0	0	5008	0	0	0	0	0	86	0	0	0	42	1081	0	0	0	0	0	0	0	0	86	0	0	0	2072	0	0	0	0	0	0	5002	796	0	0	1682	0	0	0
SRR23971487	0	0	0	0	0	43	0	0	0	43	0	0	172	0	1286	0	0	0	344	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	172	0	0	0	0	0	13547	0	687	0	0	0	0	0	0	0	43	650	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	172	0	6611	0	6065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	129	0	215	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	651	0	0	86	0	0	177	0	0	0	86	430	0	0	0	0	0	0	0	0	0	0	0	0	1707	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971488	0	0	0	0	0	96	43	43	0	0	0	0	129	0	0	0	0	0	129	0	4065	0	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7228	0	0	0	130	0	0	0	0	0	688	0	344	0	0	0	0	0	0	0	86	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1265	0	5985	0	2210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	0	0	0	0	0	0	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	86	0	0	0	0	0	0	1091	0	0	0	0	0	0	0	0	0	44	386	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971489	0	0	0	0	150	0	0	0	0	0	0	0	93	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	529	0	0	0	185	0	0	0	859	0	0	0	0	0	0	0	1021	0	0	0	0	0	0	0	0	3921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2591	0	3470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971490	0	0	0	0	43	538	3420	0	0	0	0	43	0	0	209	0	0	0	871	0	0	0	0	43	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	430	0	344	515	212	0	0	86	1105	0	43	0	0	0	0	0	301	0	0	0	0	0	0	0	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	536	0	0	0	43	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	1637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	2240	0	0	0	0	0	0	0	0	12579	0	0	0	0	0	43	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1712	0	0	0	43	43	0	0	0	0	0	0	0	0	0
SRR23971491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971492	43	0	0	0	43	312	172	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	86	43	0	0	0	0	0	0	0	0	0	667	0	0	0	0	0	0	43	0	0	5443	0	0	0	344	0	0	0	0	0	0	0	43	0	0	0	0	0	0	504	0	0	0	0	301	0	0	0	3633	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	129	0	0	0	0	0	43	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	215	0	0	0	0
SRR23971493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971494	172	172	258	0	215	351	86	0	0	0	0	0	86	86	344	0	0	381	170	215	0	86	0	0	43	0	0	43	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	86	0	301	1259	43	0	0	2421	0	0	0	0	0	0	0	344	0	0	0	0	602	0	0	0	0	86	585	666	86	0	0	3030	0	0	0	0	0	0	43	0	0	0	0	43	0	540	86	0	344	0	0	0	0	258	0	0	0	0	0	43	0	0	43	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3086	43	0	0	95	0	0	0	0	43	344	0	0	0	129
SRR23971495	0	0	319	0	308	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721	0	0	0	0	0	0	0	186	0	0	0	0	0	186	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971496	0	86	129	0	129	374	43	0	0	0	0	0	258	0	611	0	0	258	258	344	0	0	43	0	0	43	0	0	1485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	172	1179	0	0	0	3789	0	0	0	0	0	43	0	301	0	0	0	0	258	0	0	0	43	43	258	602	0	0	0	3166	0	0	0	0	0	0	43	0	0	0	0	0	0	1510	0	0	86	0	0	0	0	43	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	43	43	0	0	0	0	0	0	43	0	0	0	541	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	1786	0	0	0	43	0	0	0	0	86	645	0	43	0	43
SRR23971497	0	344	86	0	0	519	0	0	0	0	0	0	43	988	0	0	0	0	0	0	0	0	0	0	43	0	0	86	903	43	43	0	0	0	0	0	0	258	0	0	0	258	0	172	0	13587	0	0	43	1308	215	0	85	0	526	383	0	0	0	0	0	0	0	0	0	301	43	0	0	0	0	0	0	0	86	0	0	0	215	0	0	0	665	3835	0	0	0	0	0	0	0	0	0	0	0	0	660	0	86	0	0	0	0	0	430	0	0	774	0	129	0	0	0	0	0	0	0	0	0	845	0	0	0	0	0	0	0	0	0	0	43	0	0	0	43	0	0	0	86	0	0	301	0	1079	1769	0	0	172	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	215	0	0	0	0	0	129	0	0	0	0
SRR23971498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
